exp,execution,benchmark,size_of_data,schedule,chunk_size,num_threads,version,num_threads,N,ORIG,OMP
experimento,5,vectoradd,1048576,GUIDED,16,1,OMP,1,1048576,7923520,8640520
experimento,6,vectoradd,1048576,GUIDED,16,1,OMP,1,1048576,8180392,5965125
experimento,7,vectoradd,1048576,GUIDED,16,1,OMP,1,1048576,8182914,5665127
experimento,8,vectoradd,1048576,GUIDED,16,1,OMP,1,1048576,6958864,7986720
experimento,9,vectoradd,1048576,GUIDED,16,1,OMP,1,1048576,6643928,5409785
experimento,10,vectoradd,1048576,GUIDED,16,1,OMP,1,1048576,7592359,7292704
experimento,1,vectoradd,1048576,GUIDED,32,1,OMP,1,1048576,6945065,6548120
experimento,2,vectoradd,1048576,GUIDED,32,1,OMP,1,1048576,5558515,8223583
experimento,3,vectoradd,1048576,GUIDED,32,1,OMP,1,1048576,5455459,9068086
experimento,4,vectoradd,1048576,GUIDED,32,1,OMP,1,1048576,8489280,5389983
experimento,5,vectoradd,1048576,GUIDED,32,1,OMP,1,1048576,7852047,5355821
experimento,6,vectoradd,1048576,GUIDED,32,1,OMP,1,1048576,7574017,5960398
experimento,7,vectoradd,1048576,GUIDED,32,1,OMP,1,1048576,6328222,7065984
experimento,8,vectoradd,1048576,GUIDED,32,1,OMP,1,1048576,8658359,6955931
experimento,9,vectoradd,1048576,GUIDED,32,1,OMP,1,1048576,6339337,8056650
experimento,10,vectoradd,1048576,GUIDED,32,1,OMP,1,1048576,6543546,7368169
experimento,1,vectoradd,1048576,GUIDED,64,1,OMP,1,1048576,8502853,5860451
experimento,2,vectoradd,1048576,GUIDED,64,1,OMP,1,1048576,8831337,7732311
experimento,3,vectoradd,1048576,GUIDED,64,1,OMP,1,1048576,8521503,7188515
experimento,4,vectoradd,1048576,GUIDED,64,1,OMP,1,1048576,5596638,7811722
experimento,5,vectoradd,1048576,GUIDED,64,1,OMP,1,1048576,6426862,5264925
experimento,6,vectoradd,1048576,GUIDED,64,1,OMP,1,1048576,8522569,7374595
experimento,7,vectoradd,1048576,GUIDED,64,1,OMP,1,1048576,8220647,7439818
experimento,8,vectoradd,1048576,GUIDED,64,1,OMP,1,1048576,8926709,6324650
experimento,9,vectoradd,1048576,GUIDED,64,1,OMP,1,1048576,8985186,6192211
experimento,10,vectoradd,1048576,GUIDED,64,1,OMP,1,1048576,6327294,8234646
experimento,1,vectoradd,1048576,GUIDED,128,1,OMP,1,1048576,7809334,6101231
experimento,2,vectoradd,1048576,GUIDED,128,1,OMP,1,1048576,8121730,6882805
experimento,3,vectoradd,1048576,GUIDED,128,1,OMP,1,1048576,8400258,7078791
experimento,4,vectoradd,1048576,GUIDED,128,1,OMP,1,1048576,6399544,6676924
experimento,5,vectoradd,1048576,GUIDED,128,1,OMP,1,1048576,6280162,5342673
experimento,6,vectoradd,1048576,GUIDED,128,1,OMP,1,1048576,8526030,6397508
experimento,7,vectoradd,1048576,GUIDED,128,1,OMP,1,1048576,8291269,5253271
experimento,8,vectoradd,1048576,GUIDED,128,1,OMP,1,1048576,6671411,7654396
experimento,9,vectoradd,1048576,GUIDED,128,1,OMP,1,1048576,8855874,6955448
experimento,10,vectoradd,1048576,GUIDED,128,1,OMP,1,1048576,6374185,5220445
experimento,1,vectoradd,1048576,GUIDED,256,1,OMP,1,1048576,9014336,5835707
experimento,2,vectoradd,1048576,GUIDED,256,1,OMP,1,1048576,6537737,6519962
experimento,3,vectoradd,1048576,GUIDED,256,1,OMP,1,1048576,6055645,5317023
experimento,4,vectoradd,1048576,GUIDED,256,1,OMP,1,1048576,7976135,6203030
experimento,5,vectoradd,1048576,GUIDED,256,1,OMP,1,1048576,8244322,6597514
experimento,6,vectoradd,1048576,GUIDED,256,1,OMP,1,1048576,5566152,6755625
experimento,7,vectoradd,1048576,GUIDED,256,1,OMP,1,1048576,9041426,5184920
experimento,8,vectoradd,1048576,GUIDED,256,1,OMP,1,1048576,7106594,5909664
experimento,9,vectoradd,1048576,GUIDED,256,1,OMP,1,1048576,7639989,6562788
experimento,10,vectoradd,1048576,GUIDED,256,1,OMP,1,1048576,8483844,5810265
experimento,1,vectoradd,1048576,STATIC,16,2,OMP,2,1048576,8833679,77157195
experimento,2,vectoradd,1048576,STATIC,16,2,OMP,2,1048576,8692166,76043458
experimento,3,vectoradd,1048576,STATIC,16,2,OMP,2,1048576,8952935,79133918
experimento,4,vectoradd,1048576,STATIC,16,2,OMP,2,1048576,9598180,76031279
experimento,5,vectoradd,1048576,STATIC,16,2,OMP,2,1048576,7866929,76927456
experimento,6,vectoradd,1048576,STATIC,16,2,OMP,2,1048576,9181952,74771860
experimento,7,vectoradd,1048576,STATIC,16,2,OMP,2,1048576,7927537,75268569
experimento,8,vectoradd,1048576,STATIC,16,2,OMP,2,1048576,8818517,75086151
experimento,9,vectoradd,1048576,STATIC,16,2,OMP,2,1048576,8480669,75295396
experimento,10,vectoradd,1048576,STATIC,16,2,OMP,2,1048576,8247397,79406429
experimento,1,vectoradd,1048576,STATIC,32,2,OMP,2,1048576,9099104,76665822
experimento,2,vectoradd,1048576,STATIC,32,2,OMP,2,1048576,7900578,79805194
experimento,3,vectoradd,1048576,STATIC,32,2,OMP,2,1048576,7851865,73590572
experimento,4,vectoradd,1048576,STATIC,32,2,OMP,2,1048576,7940827,68173525
experimento,5,vectoradd,1048576,STATIC,32,2,OMP,2,1048576,7985199,76687547
experimento,6,vectoradd,1048576,STATIC,32,2,OMP,2,1048576,8592533,73661812
experimento,7,vectoradd,1048576,STATIC,32,2,OMP,2,1048576,9585235,73883931
experimento,8,vectoradd,1048576,STATIC,32,2,OMP,2,1048576,8210408,78995159
experimento,9,vectoradd,1048576,STATIC,32,2,OMP,2,1048576,7926988,74360491
experimento,10,vectoradd,1048576,STATIC,32,2,OMP,2,1048576,7417283,78405813
experimento,1,vectoradd,1048576,STATIC,64,2,OMP,2,1048576,7841679,76039058
experimento,2,vectoradd,1048576,STATIC,64,2,OMP,2,1048576,8957483,76041088
experimento,3,vectoradd,1048576,STATIC,64,2,OMP,2,1048576,7843631,76548677
experimento,4,vectoradd,1048576,STATIC,64,2,OMP,2,1048576,8999148,79973853
experimento,5,vectoradd,1048576,STATIC,64,2,OMP,2,1048576,8205578,80681507
experimento,6,vectoradd,1048576,STATIC,64,2,OMP,2,1048576,6633613,77375031
experimento,7,vectoradd,1048576,STATIC,64,2,OMP,2,1048576,7980898,78407926
experimento,8,vectoradd,1048576,STATIC,64,2,OMP,2,1048576,9134370,74941711
experimento,9,vectoradd,1048576,STATIC,64,2,OMP,2,1048576,8368504,79144460
